state,gov_name,gov_party
AL,Kay Ivey,Republican
AK,Bill Walker,Independent
AZ,Doug Ducey,Republican
AR,Asa Hutchinson,Republican
CA,Jerry Brown,Democratic
CO,John Hickenlooper,Democratic
CT,Dan Malloy,Democratic
DE,John Carney,Democratic
FL,Rick Scott,Republican
GA,Nathan Deal,Republican
HI,David Ige,Democratic
ID,Butch Otter,Republican
IL,Bruce Rauner,Republican
IN,Eric Holcomb,Republican
IA,Kim Reynolds,Republican
KS,Sam Brownback,Republican
KY,Matt Bevin,Republican
LA,John Bel Edwards,Democratic
ME,Paul LePage,Republican
MD,Larry Hogan,Republican
MA,Charlie Baker,Republican
MI,Rick Snyder,Republican
MN,Mark Dayton,Democratic
MS,Phil Bryant,Republican
MO,Eric Greitens,Republican
MT,Steve Bullock,Democratic
NE,Pete Ricketts,Republican
NV,Brian Sandoval,Republican
NH,Chris Sununu,Republican
NJ,Chris Christie,Republican
NM,Susana Martinez,Republican
NY,Andrew Cuomo,Democratic
NC,Roy Cooper,Democratic
ND,Doug Burgum,Republican
OH,John Kasich,Republican
OK,Mary Fallin,Republican
OR,Kate Brown,Democratic
PA,Tom Wolf,Democratic
RI,Gina Raimondo,Democratic
SC,Henry McMaster,Republican
SD,Dennis Daugaard,Republican
TN,Bill Haslam,Republican
TX,Greg Abbott,Republican
UT,Gary Herbert,Republican
VT,Phillip Scott,Republican
VA,Terry McAuliffe,Democratic
WA,Jay Inslee,Democratic
WV,Jim Justice,Democratic
WI,Scott Walker,Republican
WY,Matt Mead,Republican
