"Date of data","Trading partner code","Trading partner","US dollar",
"201801","502","United States","37,456,138,736",
"201802","502","United States","31,572,656,429",
"201803","502","United States","30,589,199,881",
"201804","502","United States","35,958,630,332",
"201805","502","United States","39,197,358,311",
"201806","502","United States","42,269,836,202",
"201807","502","United States","41,247,510,536",
"201808","502","United States","44,277,125,619",
"201809","502","United States","46,650,321,627",
"201810","502","United States","42,694,602,029",
"201811","502","United States","46,205,698,852",
"201812","502","United States","40,276,734,501",
